,artist,track,genres
2849,The Arbors,Graduation Day,[]
2850,Ruby And The Romantics,Our Day Will Come,['rhythm and blues']
2851,The Isley Brothers,Black Berries - Pt 1,"['classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul']"
2852,Dean Martin,The Door Is Still Open To My Heart,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
2853,Nino Tempo & April Stevens,Tea For Two,[]
2854,Bobby Rydell,Ding-A-Ling,"['adult standards', 'brill building pop', 'bubblegum pop', 'deep adult standards', 'doo-wop', 'merseybeat', 'rock-and-roll', 'rockabilly']"
2855,Glenn Yarbrough,Baby The Rain Must Fall,['american folk revival']
2856,Jimmy Reed,Found Love,"['blues', 'blues rock', 'chicago blues', 'electric blues', 'harmonica blues', 'rock-and-roll', 'traditional blues']"
2857,Tom Jones,Help Yourself,"['adult standards', 'british invasion', 'mellow gold']"
2858,Maureen Gray,Dancin' The Strand,[]
2859,The Pixies Three,Birthday Party,['classic girl group']
2860,Eric Burdon & The Animals,When I Was Young,"['british invasion', 'classic rock', 'folk rock', 'psychedelic rock']"
2861,Arthur Conley,"Shake, Rattle & Roll","['classic soul', 'motown', 'rhythm and blues', 'soul', 'southern soul']"
2862,The Olympics,Shimmy Like Kate,"['brill building pop', 'doo-wop', 'motown', 'rhythm and blues']"
2863,The Velaires,Roll Over Beethoven,[]
2864,Del Shannon,From Me To You,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'merseybeat', 'rock-and-roll', 'rockabilly']"
2865,Jeanne Black,He'll Have To Stay,['deep adult standards']
2866,Sly & The Family Stone,Stand!,"['classic rock', 'classic soul', 'disco', 'folk rock', 'funk', 'funk rock', 'motown', 'psychedelic soul', 'rock', 'soul']"
2867,Barbara Lynn,You're Gonna Need Me,"['classic soul', 'motown', 'rhythm and blues', 'soul', 'southern soul']"
2868,Percy Sledge,When A Man Loves A Woman,"['brill building pop', 'classic soul', 'soul', 'southern soul']"
2869,Patsy Cline,I Fall To Pieces,"['adult standards', 'nashville sound', 'rockabilly', 'country gospel']"
2870,Marianne Faithfull,Come And Stay With Me,"['british invasion', 'folk', 'folk rock', 'lilith']"
2871,Neil Sedaka,The Answer To My Prayer,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'lounge', 'mellow gold', 'rockabilly', 'soft rock']"
2872,Lawrence Reynolds,Jesus Is A Soul Man,['country gospel']
2873,The Sweet Inspirations,Why (Am I Treated So Bad),"['brill building pop', 'classic soul', 'southern soul']"
2874,Hugh Masekela,Riot,"['afrobeat', 'afropop', 'jazz trumpet', 'south african jazz', 'world']"
2875,The Beatles,I'll Cry Instead,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
2876,Johnny Adams,Release Me,"['louisiana blues', 'memphis blues', 'new orleans blues', 'soul blues', 'southern soul']"
2877,The Spencer Davis Group,I'm A Man,"['blues rock', 'british blues', 'british invasion', 'bubblegum pop', 'classic rock', 'classic uk pop', 'folk rock', 'merseybeat', 'protopunk', 'psychedelic rock', 'rock', 'rock-and-roll']"
2878,Nat King Cole,All Over The World,"['adult standards', 'lounge', 'soul', 'vocal jazz']"
2879,Sammy Davis Jr.,What Kind Of Fool Am I,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
2880,Tony Bennett,Spring In Manhattan,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
2881,Bobby Vinton,Clinging Vine,"['adult standards', 'brill building pop', 'bubblegum pop', 'easy listening', 'lounge', 'rock-and-roll']"
2882,Jim Reeves,The Blizzard,"['adult standards', 'nashville sound']"
2883,Joe Tex,"Woman Like That, Yeah","['northern soul', 'southern soul']"
2884,Marvin Gaye,Stubborn Kind Of Fellow,"['classic soul', 'funk', 'motown', 'northern soul', 'quiet storm', 'soul']"
2885,Otis Redding,I've Been Loving You Too Long (To Stop Now),"['classic soul', 'memphis soul', 'soul', 'soul blues', 'southern soul']"
2886,Connie Francis,Follow The Boys,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'vocal jazz']"
2887,Otis Redding,That's How Strong My Love Is,"['classic soul', 'memphis soul', 'soul', 'soul blues', 'southern soul']"
2888,Billy Strange,Goldfinger,"['space age pop', 'surf music']"
2889,The Winstons,Love Of The Common People,[]
2890,Chuck Berry,No Particular Place To Go,"['blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']"
2891,The Beatles,Hello Goodbye,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
2892,Adam Wade,Tell Her For Me,['deep adult standards']
2893,Marvin Gaye,One More Heartache,"['classic soul', 'funk', 'motown', 'northern soul', 'quiet storm', 'soul']"
2894,Gary U.S. Bonds,Seven Day Weekend,"['brill building pop', 'rhythm and blues', 'rock-and-roll']"
2895,The Grass Roots,The River Is Wide,"['brill building pop', 'bubblegum pop', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'merseybeat', 'soft rock', 'sunshine pop']"
2896,Sandy Posey,Are You Never Coming Home,"['brill building pop', 'merseybeat', 'nashville sound', 'rock-and-roll']"
2897,Nancy Wilson,Uptight (Everything's Alright),"['adult standards', 'cool jazz', 'jazz', 'lounge', 'soul', 'vocal jazz']"
2898,Neil Diamond,Red Red Wine,"['adult standards', 'brill building pop', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'yacht rock']"
2899,Joan Baez,Love Is Just A Four-Letter Word,"['american folk revival', 'folk', 'folk rock', 'singer-songwriter']"
2900,The Association,Goodbye Columbus,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic rock', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'merseybeat', 'psychedelic rock', 'soft rock', 'sunshine pop']"
2901,Ronny Douglas,"Run, Run, Run",[]
2902,Syndicate Of Sound,Rumors,"['classic garage rock', 'deep classic garage rock', 'freakbeat']"
2903,The Routers,Let's Go (pony),[]
2904,Paul Petersen,Lollipops And Roses,['deep motown']
2905,Harpers Bizarre,Anything Goes,"['brill building pop', 'bubblegum pop', 'classic uk pop', 'sunshine pop']"
2906,Frankie Avalon,Swingin' On A Rainbow,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'rock-and-roll']"
2907,Johnny Gibson,Midnight,[]
2908,The Supremes,Love Is Here And Now You're Gone,"['brill building pop', 'classic girl group', 'disco', 'funk', 'motown', 'quiet storm', 'soul']"
2909,Joe Tex,I Want To (Do Everything For You),"['northern soul', 'southern soul']"
2910,Fontella Bass,I Surrender,"['brill building pop', 'chicago soul', 'classic soul', 'motown', 'rhythm and blues', 'soul']"
2911,Edwin Starr,Agent Double-O-Soul,"['classic soul', 'motown', 'northern soul', 'soul', 'southern soul']"
2912,Richard Chamberlain,I Will Love You,[]
2913,Joe Simon,Teenager's Prayer,"['classic soul', 'motown', 'philly soul', 'soul', 'southern soul']"
2914,The Rugbys,"You, I",[]
2915,Theola Kilgore,This Is My Prayer,[]
2916,Lloyd Price,Misty,"['adult standards', 'brill building pop', 'doo-wop', 'louisiana blues', 'memphis blues', 'new orleans blues', 'rhythm and blues', 'rock-and-roll', 'rockabilly']"
2917,The Ventures,Lolita Ya-Ya,"['rock-and-roll', 'rockabilly', 'surf music']"
2918,Johnny Cash,A Boy Named Sue,"['arkansas country', 'outlaw country']"
2919,Dionne Warwick,I Just Don't Know What To Do With Myself,"['adult standards', 'brill building pop', 'disco', 'lounge', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']"
2920,The Buckinghams,Hey Baby (They're Playing Our Song),"['brill building pop', 'bubblegum pop', 'classic garage rock', 'folk rock', 'merseybeat']"
2921,Teresa Brewer,Anymore,"['adult standards', 'deep adult standards']"
2922,Perry Como,Seattle,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'vocal jazz']"
2923,Alvin Cash,Keep On Dancing,"['chicago soul', 'instrumental soul']"
2924,Ray Charles,I Can't Stop Loving You,"['adult standards', 'classic soul', 'jazz blues', 'piano blues', 'soul', 'soul blues', 'vocal jazz']"
2925,Wilson Pickett,I'm A Midnight Mover,"['brill building pop', 'classic soul', 'funk', 'memphis soul', 'motown', 'rock-and-roll', 'soul', 'southern soul']"
2926,The Supremes,Stop! In The Name Of Love,"['brill building pop', 'classic girl group', 'disco', 'funk', 'motown', 'quiet storm', 'soul']"
2927,Eddie Holland,Jamie,['motown']
2928,The Animals,I'm Crying,"['album rock', 'blues rock', 'british invasion', 'classic rock', 'folk rock', 'hard rock', 'protopunk', 'psychedelic rock', 'rock']"
2929,Jan & Dean,(Here They Come) From All Over The World,"['brill building pop', 'bubblegum pop', 'doo-wop', 'folk rock', 'merseybeat', 'rock-and-roll', 'rockabilly', 'sunshine pop', 'surf music']"
2930,Hugh Masekela,Up-Up And Away,"['afrobeat', 'afropop', 'jazz trumpet', 'south african jazz', 'world']"
2931,The Miracles,Going To A Go-Go,"['brill building pop', 'classic soul', 'motown', 'quiet storm', 'rhythm and blues', 'soul']"
2932,The Lettermen,The Way You Look Tonight,"['adult standards', 'brill building pop', 'bubblegum pop', 'easy listening', 'lounge', 'vocal harmony group']"
2933,Guy Mitchell,Heartaches By The Number,"['adult standards', 'brill building pop', 'deep adult standards', 'rock-and-roll']"
2934,U.S. Bonds,New Orleans,[]
2935,The Spinners,That's What Girls Are Made For,"['classic soul', 'disco', 'funk', 'motown', 'philly soul', 'quiet storm', 'soft rock', 'soul', 'southern soul']"
2936,Sagittarius,In My Room,"['freakbeat', 'sunshine pop']"
2937,Bobby Darin,You're The Reason I'm Living,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'soul', 'swing', 'vocal jazz']"
2938,Bobby Rydell,Forget Him,"['adult standards', 'brill building pop', 'bubblegum pop', 'deep adult standards', 'doo-wop', 'merseybeat', 'rock-and-roll', 'rockabilly']"
2939,Boots Randolph,"Hey, Mr. Sax Man",['nashville sound']
2940,Dionne Warwick,Let Me Be Lonely,"['adult standards', 'brill building pop', 'disco', 'lounge', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']"
2941,Ben Colder,Don't Go Near The Eskimos,[]
2942,Sonny & Cher,Little Man,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'merseybeat', 'rock-and-roll']"
2943,Crispian St. Peters,The Pied Piper,"['british invasion', 'bubblegum pop', 'classic uk pop', 'merseybeat', 'rock-and-roll']"
2944,Ray Charles,Careless Love,"['adult standards', 'classic soul', 'jazz blues', 'piano blues', 'soul', 'soul blues', 'vocal jazz']"
2945,Fred Hughes,"Oo Wee Baby, I Love You",['northern soul']
2946,The Temptations,(Loneliness Made Me Realize) It's You That I Need,"['classic soul', 'funk', 'memphis soul', 'motown', 'soul']"
2947,The Beatles,Ticket To Ride,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
2948,Jan & Dean,The Little Old Lady (From Pasadena),"['brill building pop', 'bubblegum pop', 'doo-wop', 'folk rock', 'merseybeat', 'rock-and-roll', 'rockabilly', 'sunshine pop', 'surf music']"
2949,The Delfonics,La - La - Means I Love You,"['classic soul', 'disco', 'funk', 'motown', 'philly soul', 'quiet storm', 'soul', 'souldies', 'southern soul']"
2950,Ronnie Dove,Happy Summer Days,['deep adult standards']
2951,The Drifters,Memories Are Made Of This,"['adult standards', 'brill building pop', 'bubblegum pop', 'mellow gold', 'motown', 'rock-and-roll', 'rockabilly', 'soul']"
2952,Willie Tee,Teasin' You,"['beach music', 'swamp pop']"
2953,Petula Clark,You'd Better Come Home,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'folk', 'folk rock', 'lounge', 'mellow gold', 'merseybeat', 'rock-and-roll']"
2954,Gary U.S. Bonds,School Is Out,"['brill building pop', 'rhythm and blues', 'rock-and-roll']"
2955,Jan & Dean,The New Girl In School,"['brill building pop', 'bubblegum pop', 'doo-wop', 'folk rock', 'merseybeat', 'rock-and-roll', 'rockabilly', 'sunshine pop', 'surf music']"
2956,Bobby Vinton,Let's Kiss And Make Up,"['adult standards', 'brill building pop', 'bubblegum pop', 'easy listening', 'lounge', 'rock-and-roll']"
2957,The Kinks,All Day And All Of The Night,"['album rock', 'art rock', 'british invasion', 'classic rock', 'folk rock', 'glam rock', 'mellow gold', 'protopunk', 'rock', 'roots rock']"
2958,William Bell,Everybody Loves A Winner,"['memphis soul', 'soul', 'southern soul']"
2959,Major Lance,Ain't It A Shame,"['beach music', 'brill building pop', 'chicago soul', 'classic soul', 'motown', 'northern soul', 'rhythm and blues', 'soul']"
2960,Joe Simon,My Special Prayer,"['classic soul', 'motown', 'philly soul', 'soul', 'southern soul']"
2961,Tom Jones,What's New Pussycat?,"['adult standards', 'british invasion', 'mellow gold']"
2962,The Isley Brothers,I Turned You On,"['classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul']"
2963,The Kingsmen,Louie Louie,['classic garage rock']
2964,Peaches & Herb,The Ten Commandments Of Love,"['classic soul', 'disco', 'motown']"
2965,The Shirelles,Welcome Home Baby,"['adult standards', 'brill building pop', 'classic girl group', 'classic soul', 'doo-wop', 'motown', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']"
2966,Fats Domino,Did You Ever See A Dream Walking,"['adult standards', 'brill building pop', 'louisiana blues', 'lounge', 'new orleans blues', 'piano blues', 'rock-and-roll', 'rockabilly', 'soul']"
2967,Stevie Wonder,I Was Made To Love Her,"['funk', 'indie r&b', 'motown', 'quiet storm', 'soul']"
2968,Ruby And The Romantics,When You're Young And In Love,['rhythm and blues']
2969,Joe Tex,One Monkey Don't Stop No Show,"['northern soul', 'southern soul']"
2970,Otis Redding,Satisfaction,"['classic soul', 'memphis soul', 'soul', 'soul blues', 'southern soul']"
2971,Vic Dana,A Million And One,['deep adult standards']
2972,The Drifters,At The Club,"['adult standards', 'brill building pop', 'bubblegum pop', 'mellow gold', 'motown', 'rock-and-roll', 'rockabilly', 'soul']"
2973,The Beatles,A Hard Day's Night,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
2974,The Lettermen,Silly Boy (She Doesn't Love You),"['adult standards', 'brill building pop', 'bubblegum pop', 'easy listening', 'lounge', 'vocal harmony group']"
2975,Percy Sledge,What Am I Living For,"['brill building pop', 'classic soul', 'soul', 'southern soul']"
2976,The Hondells,Little Honda,[]
2977,The Archies,"Sugar, Sugar","['brill building pop', 'bubblegum pop', 'classic canadian rock', 'folk rock']"
2978,Marv Johnson,Merry-Go-Round,"['motown', 'rhythm and blues']"
2979,Roy Orbison,Blue Bayou,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'rock-and-roll', 'rockabilly', 'soft rock']"
2980,Leon Haywood,It's Got To Be Mellow,"['classic soul', 'funk', 'post-disco']"
2981,James Carr,A Man Needs A Woman,"['classic soul', 'memphis soul', 'motown', 'soul', 'southern soul']"
2982,Bobby Vinton,To Know You Is To Love You,"['adult standards', 'brill building pop', 'bubblegum pop', 'easy listening', 'lounge', 'rock-and-roll']"
2983,The Dovells,You Can't Sit Down,"['brill building pop', 'doo-wop', 'rhythm and blues']"
2984,The Shirelles,Sha-La-La,"['adult standards', 'brill building pop', 'classic girl group', 'classic soul', 'doo-wop', 'motown', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']"
2985,Carla Thomas,Where Do I Go,"['brill building pop', 'classic soul', 'memphis soul', 'motown', 'rhythm and blues', 'soul', 'southern soul']"
2986,Ramsey Lewis Trio,A Hard Day's Night,['soul jazz']
2987,Timi Yuro,You Can Have Him,"['adult standards', 'brill building pop']"
2988,Ral Donner,Girl Of My Best Friend,['doo-wop']
2989,The Velvelettes,He Was Really Sayin' Somethin',"['brill building pop', 'classic girl group', 'motown', 'soul']"
2990,The Tokens,It's A Happening World,"['brill building pop', 'doo-wop', 'sunshine pop']"
2991,Brenda Lee,So Deep,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rockabilly', 'vocal jazz']"
2992,The Fleetwoods,Goodnight My Love,"['adult standards', 'brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'vocal harmony group']"
2993,Nancy Sinatra,Love Eyes,"['adult standards', 'brill building pop', 'folk rock', 'lounge']"
2994,Sonny & Cher,What Now My Love,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'merseybeat', 'rock-and-roll']"
2995,Nancy Sinatra,In Our Time,"['adult standards', 'brill building pop', 'folk rock', 'lounge']"
2996,Jerry Butler,Good Times,"['beach music', 'brill building pop', 'chicago soul', 'classic soul', 'motown', 'philly soul', 'quiet storm', 'rhythm and blues', 'soul']"
2997,Jimmy McCracklin,Think,"['jump blues', 'piano blues', 'rhythm and blues', 'soul blues', 'southern soul']"
2998,The Swans,The Boy With The Beatle Hair,[]
2999,Tom Jones,I'll Never Fall In Love Again,"['adult standards', 'british invasion', 'mellow gold']"
3000,The Moments,Gotta Find A Way,"['classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'souldies', 'southern soul']"
3001,Daniel Boone,Beautiful Sunday,['classic uk pop']
3002,Kate Bush,The Man With The Child In His Eyes,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']"
3003,The Temptations,Psychedelic Shack,"['classic soul', 'funk', 'memphis soul', 'motown', 'soul']"
3004,Andy Williams,Tell It Like It Is,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'mellow gold', 'vocal jazz']"
3005,Brian Auger & The Trinity,Listen Here,"['hammond organ', 'jazz organ', 'rock keyboard']"
3006,The Who,Long Live Rock,"['album rock', 'art rock', 'british invasion', 'classic rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'roots rock']"
3007,The Sylvers,Hot Line,"['classic soul', 'disco', 'funk', 'jazz funk', 'post-disco', 'quiet storm']"
3008,Eric Clapton,Willie And The Hand Jive,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock', 'soft rock']"
3009,Little Richard,Greenwood Mississippi,"['adult standards', 'brill building pop', 'rock-and-roll', 'rockabilly', 'soul']"
3010,Cher,Don't Hide Your Love,"['dance pop', 'hollywood', 'new wave pop', 'pop']"
3011,Stevie Wonder,"Yester-Me, Yester-You, Yesterday","['funk', 'indie r&b', 'motown', 'quiet storm', 'soul']"
3012,The Rolling Stones,Miss You,"['british invasion', 'classic rock', 'rock']"
3013,Kool & The Gang,Funky Man,"['disco', 'funk', 'motown', 'post-disco', 'quiet storm', 'soul']"
3014,The Whispers,Make It With You,"['classic soul', 'disco', 'funk', 'motown', 'new jack swing', 'post-disco', 'quiet storm', 'rock steady', 'soul', 'urban contemporary']"
3015,Purple Reign,This Old Man,[]
3016,Mark Lindsay,Miss America,['bubblegum pop']
3017,Luther Ingram,Ain't That Loving You (For More Reasons Than One),"['classic soul', 'memphis soul', 'southern soul']"
3018,Foxy,Hot Number,"['deep disco', 'disco', 'funk']"
3019,Foghat,Slow Ride,"['album rock', 'blues rock', 'british blues', 'classic rock', 'country rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']"
3020,Frijid Pink,Sing A Song For Freedom,"['blues rock', 'detroit rock', 'psychedelic blues-rock', 'psychedelic rock']"
3021,Aretha Franklin,Rock Steady,"['classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']"
3022,Donna Summer,Rumour Has It,"['dance pop', 'disco', 'hi-nrg', 'motown', 'new wave pop']"
3023,Linda Ronstadt,Blue Bayou,"['adult standards', 'country rock', 'folk', 'folk rock', 'heartland rock', 'lilith', 'mellow gold', 'singer-songwriter', 'soft rock']"
3024,Bee Gees,Nights On Broadway,"['disco', 'mellow gold', 'soft rock']"
3025,Lindisfarne,Lady Eleanor,"['british folk', 'classic uk pop', 'folk rock']"
3026,Blue Swede,Hooked On A Feeling,"['classic swedish pop', 'classic swedish pop', 'europop', 'swedish pop']"
3027,The New Seekers,"Pinball Wizard/See Me, Feel Me","['bubblegum pop', 'classic uk pop', 'merseybeat']"
3028,Five Flights Up,Do What You Wanna Do,[]
3029,Gerry Rafferty,Right Down The Line,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'soft rock']"
3030,Village People,Macho Man,['disco']
3031,England Dan & John Ford Coley,I'd Really Love To See You Tonight,"['adult standards', 'bubblegum pop', 'country rock', 'folk rock', 'mellow gold', 'soft rock']"
3032,Ace,How Long,['classic uk pop']
3033,Jimmy James & The Vagabonds,I Am Somebody,[]
3034,Suzi Quatro,Can The Can,"['classic uk pop', 'glam rock', 'soft rock']"
3035,The Trammps,That's Where The Happy People Go,"['disco', 'motown', 'philly soul', 'post-disco']"
3036,Neil Young,Walk On,"['album rock', 'canadian singer-songwriter', 'classic canadian rock', 'classic rock', 'mellow gold', 'permanent wave', 'rock', 'roots rock', 'singer-songwriter']"
3037,South Shore Commission,We're On The Right Track,[]
3038,Gary Toms Empire,7-6-5-4-3-2-1 (Blow Your Whistle),[]
3039,Styx,Sing For The Day,"['album rock', 'art rock', 'classic rock', 'folk rock', 'hard rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock']"
3040,Maggie Bell,After Midnight,[]
3041,Blondie,One Way Or Another,"['candy pop', 'new wave', 'new wave pop', 'permanent wave', 'power pop', 'rock']"
3042,Rita Coolidge,We're All Alone,"['adult standards', 'bubblegum pop', 'classic uk pop', 'folk', 'mellow gold', 'native american', 'soft rock']"
3043,Rita Coolidge,Love Me Again,"['adult standards', 'bubblegum pop', 'classic uk pop', 'folk', 'mellow gold', 'native american', 'soft rock']"
3044,ABBA,"Money, Money, Money","['europop', 'swedish pop']"
3045,Johnnie Taylor,Steal Away,"['funk', 'memphis soul', 'motown', 'quiet storm', 'soul', 'soul blues', 'southern soul']"
3046,Marie Osmond,Paper Roses,"['bubblegum pop', 'classic country pop']"
3047,Ray Stevens,Bridget The Midget (The Queen Of The Blues),"['bubblegum pop', 'comic', 'country', 'country rock', 'novelty']"
3048,James Brown,Stoned To The Bone - Part 1,"['funk', 'motown', 'soul']"
3049,The Archies,Jingle Jangle,"['brill building pop', 'bubblegum pop', 'classic canadian rock', 'folk rock']"
3050,Mary Macgregor,For A While,[]
3051,Rex Smith,You Take My Breath Away,['soft rock']
3052,Johnny Cash,Rock Island Line,"['arkansas country', 'outlaw country']"
3053,10cc,Good Morning Judge,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock', 'yacht rock']"
3054,Bloodstone,Outside Woman,"['classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']"
3055,Roxy Music,Dance Away,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'glam rock', 'melancholia', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'sophisti-pop']"
3056,Alice Cooper,School's Out,"['album rock', 'blues rock', 'classic rock', 'detroit rock', 'glam metal', 'glam rock', 'hard rock', 'metal', 'protopunk', 'rock']"
3057,Charley Pride,I'd Rather Love You,"['classic country pop', 'country', 'country rock', 'nashville sound']"
3058,Supertramp,Take The Long Way Home,"['album rock', 'art rock', 'classic rock', 'glam rock', 'mellow gold', 'piano rock', 'progressive rock', 'rock', 'soft rock']"
3059,Gino Vannelli,People Gotta Move,"['adult standards', 'classic canadian rock', 'mellow gold', 'soft rock', 'yacht rock']"
3060,Ike & Tina Turner,Bold Soul Sister,"['brill building pop', 'classic soul', 'motown', 'soul', 'southern soul']"
3061,Steppenwolf,Monster,"['acid rock', 'album rock', 'blues rock', 'classic canadian rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock']"
3062,B.W. Stevenson,Shambala,[]
3063,James Taylor,Shower The People,"['adult standards', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
3064,Frankie Valli,Swearin' To God,"['adult standards', 'brill building pop', 'bubblegum pop', 'disco', 'lounge', 'mellow gold', 'soft rock']"
3065,Melanie,Bitter Bad,"['classic uk pop', 'folk', 'folk rock', 'persian pop']"
3066,Olivia Newton-John,Have You Never Been Mellow,"['adult standards', 'australian dance', 'bubblegum pop', 'disco', 'mellow gold', 'new wave pop', 'soft rock']"
3067,The Hollies,Another Night,"['art rock', 'brill building pop', 'british invasion', 'bubblegum pop', 'classic rock', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'merseybeat', 'psychedelic rock', 'rock', 'rock-and-roll', 'roots rock', 'soft rock']"
3068,John Denver,Like A Sad Song,"['classic country pop', 'folk', 'folk rock', 'mellow gold', 'soft rock']"
3069,The Beach Boys,Rock And Roll Music,"['baroque pop', 'brill building pop', 'classic rock', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']"
3070,The Partridge Family Starring Shirley Jones Featuring David Cassidy,Am I Losing You,['bubblegum pop']
3071,Marvin Gaye,Gonna Give Her All The Love I've Got,"['classic soul', 'funk', 'motown', 'northern soul', 'quiet storm', 'soul']"
3072,Glen Campbell,Houston (I'm Comin' To See You),"['adult standards', 'arkansas country', 'brill building pop', 'bubblegum pop', 'classic country pop', 'folk', 'folk rock', 'lounge', 'mellow gold', 'nashville sound', 'soft rock']"
3073,The Temptations,Just My Imagination (Running Away With Me),"['classic soul', 'funk', 'memphis soul', 'motown', 'soul']"
3074,Bloodrock,D.O.A.,['psychedelic blues-rock']
3075,Mark-Almond,One Way Sunday,[]
3076,David Bowie,Golden Years,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']"
3077,Elvis Presley,My Boy,"['rock-and-roll', 'rockabilly']"
3078,Sly Stone,I Get High On You,"['funk', 'psychedelic soul']"
3079,Paul Anka,Let Me Get To Know You,"['adult standards', 'brill building pop', 'canadian pop', 'easy listening', 'lounge', 'rock-and-roll']"
3080,Leon Haywood,I Want'a Do Something Freaky To You,"['classic soul', 'funk', 'post-disco']"
3081,War,The World Is A Ghetto,"['classic soul', 'funk', 'motown', 'quiet storm', 'soul']"
3082,Steam,Na Na Hey Hey Kiss Him Goodbye,[]
3083,Ohio Players,Feel The Beat (Everybody Disco),"['classic soul', 'disco', 'funk', 'jazz funk', 'motown', 'post-disco', 'quiet storm', 'soul', 'southern soul']"
3084,Brian Hyland,Lonely Teardrops,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'folk rock', 'merseybeat', 'rock-and-roll', 'rockabilly']"
3085,Maxine Nightingale,(Bringing Out) The Girl In Me,['classic uk pop']
3086,Elton John,Sorry Seems To Be The Hardest Word,"['glam rock', 'mellow gold', 'piano rock']"
3087,Jimmy Buffett,Cheeseburger In Paradise,"['folk rock', 'mellow gold', 'soft rock']"
3088,Santana,No One To Depend On,"['blues rock', 'classic rock', 'mexican classic rock']"
3089,The Dramatics,Fell For You,"['classic soul', 'disco', 'funk', 'memphis soul', 'motown', 'quiet storm', 'soul', 'southern soul']"
3090,Little River Band,Reminiscing,"['album rock', 'art rock', 'australian rock', 'bubblegum pop', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
3091,Rupert Holmes,Let's Get Crazy Tonight,"['soft rock', 'yacht rock']"
3092,Todd Rundgren,A Dream Goes On Forever,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'philly soul', 'power pop', 'rock', 'roots rock', 'soft rock', 'symphonic rock', 'zolo']"
3093,The Osmonds,Goin' Home,['bubblegum pop']
